등급	점수	키워드	질문 제목	질문 내용(요약)	링크	채택여부	답변수	품질 사유	답변 템플릿
B	6	사망 후 해야할 일	재개발 후 세입자 사망 시 보상금 수령 방법은?		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60215&docId=492649336&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
B	6	사망 후 해야할 일	아버지 사망 후 상속 절차 관련 질문드립니다		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60203&docId=492309482&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
B	6	사망 후 해야할 일	형 사망 후 상속 절차가 궁금합니다		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=492500975&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
B	6	사망신고 방법	전셋집 집주인 사망 시 임차인의 대처 방법		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60215&docId=492275796&qb=7IKs66ed7Iug6rOgIOuwqeuylQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
B	6	사망신고 방법	[사망신고] 에 대하여 먼저 무엇부터 해야 할까요?		https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4010302&docId=491425757&qb=7IKs66ed7Iug6rOgIOuwqeuylQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
B	6	상속포기 방법	미성년자 자녀 이혼한 부모 상속포기하는 방법		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60204&docId=469835698&qb=7IOB7IaN7Y+s6riwIOuwqeuylQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
B	6	상속포기 방법	전자소송으로 상속포기결정문 제출 방법 문의		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60221&docId=492614038&qb=7IOB7IaN7Y+s6riwIOuwqeuylQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
B	6	상속포기 기한	상속포기, 특별한정승인 둘중 어떤 것으로 변호사를 수임 해야할까요?		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=492621582&qb=7IOB7IaN7Y+s6riwIOq4sOqwhA==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
B	6	상속포기 기한	상속포기에 필요한 서류 궁금해요.		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=492456493&qb=7IOB7IaN7Y+s6riwIOq4sOqwhA==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
B	6	상속포기 기한	상속 순위와 상속포기 절차 알아보기		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60215&docId=492312091&qb=7IOB7IaN7Y+s6riwIOq4sOqwhA==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
