키워드	질문	링크	답변 템플릿
사망 후 해야할 일	아버지	https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=492600936&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
사망 후 해야할 일	어머니	https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=492276649&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
사망 후 해야할 일	재개발	https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60215&docId=492649336&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
사망 후 해야할 일	저희 언니가	https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60204&docId=492582667&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
사망 후 해야할 일	아버지	https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60203&docId=492309482&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
사망 후 해야할 일	아버지	https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40303&docId=492317619&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
사망 후 해야할 일	혼인신고 무 동거기간 10년 배우자의	https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40303&docId=491761391&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
사망 후 해야할 일	모친	https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60203&docId=482760016&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
사망 후 해야할 일	형	https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=492500975&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
사망신고 방법	전셋집 집주인	https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60215&docId=492275796&qb=7IKs66ed7Iug6rOgIOuwqeuylQ==&enc=utf8	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
